No,Roll,Semeset,CGPA
463,571424,7,3.00
464,571425,7,2.99
465,571426,7,3.68
466,571427,7,2.96
467,571430,7,3.20
468,571431,7,2.74
469,571432,7,2.89
470,571433,7,3.20
471,571435,7,3.91
472,571443,7, 66853(T)
473,571445,7, 65851(T) 66853(T)
474,571446,7,3.05
475,571448,7, 65851(T)
476,571449,7, 66841(T) 66853(T)
477,571465,7,2.95
478,571466,7, 66842(T) 66853(T)
479,571467,7,3.54
480,571468,7,2.82
481,571469,7,2.67
482,571470,7, 66631(T)
483,571472,7, 66853(T)
484,571476,7,3.31
485,571478,7, 66841(T)
486,571479,7,2.77
487,571484,7, 66631(T) 66853(T)
488,571487,7, 66853(T)
489,571488,7,3.10
490,571489,7,3.50
491,571490,7,3.55
492,571491,7,2.73
493,571493,7,3.56
494,571494,7,3.27
495,571495,7, 66631(T) 66841(T)
496,571496,7,3.49
497,571499,7, 66631(T)
498,571502,7,2.89
499,571503,7,3.24
500,571506,7, 66841(T)
501,571508,7,3.30
502,571509,7,3.80
503,571513,7,2.74
504,571516,7,3.10
505,571517,7,3.43
506,571519,7,3.58
507,571520,7,3.25
508,571523,7,2.55
509,571525,7, 66631(T) 66854(T)
510,571530,7,3.23
511,571531,7,2.86
512,571533,7,3.36
513,571535,7,3.31
514,571544,7, 66852(T)
515,571546,7,3.02
516,571549,7,3.18
517,571552,7,3.48
518,571553,7,3.57
519,571554,7,3.08
520,571556,7,3.32
521,571557,7,2.87
522,571572,7,3.27
523,571587,7, 66854(T)
524,571588,7, 66852(T) 66854(T)
525,571589,7,3.67
526,571594,7,2.96
527,571598,7, 66854(T)
528,571600,7,2.74
529,571604,7, 66854(T)
530,571605,7,3.11
531,571606,7,3.51
532,571607,7,3.86
533,571608,7,3.57
534,571609,7,3.42
535,571610,7, 66853(T) 66854(T)
536,571612,7, 66854(T)
537,571613,7,3.06
538,571614,7,2.80
539,571616,7, 66853(T)
540,571617,7,3.04
541,571618,7,3.20
542,571619,7,3.11
543,571620,7, 66854(T)
544,571621,7,3.74
545,571622,7, 66853(T) 66854(T)
546,571624,7,3.86
547,571625,7,2.83
548,571626,7, 66854(T)
549,571628,7,3.11
550,571629,7, 66853(T)
551,571631,7,3.52
552,571632,7,3.39
553,571633,7,3.45
554,571634,7,2.83
555,571636,7,3.06
556,571637,7,3.11
557,571640,7,2.90
558,571641,7, 67041(T)
559,571642,7,3.19
560,571643,7, 67051(T)
561,571644,7,3.01
562,571645,7, 67053(T)
563,571646,7,3.65
564,571647,7, 67054(T)
565,571652,7, 67053(T)
566,571659,7,2.60
567,571661,7, 67053(T)
568,571662,7, 67041(T) 67053(T)
569,571665,7, 66631(T)
570,571666,7,3.13
571,571669,7,3.01
572,571671,7, 67041(T)
573,571672,7, 67051(T)
574,571673,7,3.54
575,571676,7,3.56
576,571677,7, 66631(T)
577,571678,7,3.88
578,571679,7,3.75
579,571680,7,2.58
580,571681,7,2.60
581,571682,7,2.89
582,571684,7, 66631(T)
583,571685,7, 67053(T)
584,571687,7,2.73
585,571689,7,3.93
586,571690,7,3.43
587,571692,7, 67053(T)
588,571694,7,3.16
589,571695,7,3.18
590,571697,7,3.49
591,571699,7,3.13
592,571700,7,3.59
593,571701,7,3.11
594,571702,7, 67053(T)
595,571703,7,3.55
596,571705,7,3.29
597,571709,7,3.13
598,571710,7,3.81
599,571711,7,3.49
600,571712,7, 67053(T)
601,571714,7,2.56
602,571717,7,2.34
603,571718,7, 67041(T)
604,571720,7,2.98
605,571721,7,3.45
606,571722,7,2.78
607,571723,7,3.19
608,571726,7,3.29
609,571727,7,2.51
610,571728,7,3.70
611,571729,7,3.60
612,571731,7,3.26
613,571732,7,3.89
614,571734,7, 67051(T)
615,571735,7,3.14
616,571737,7, 67053(T)
617,571739,7,3.36
618,571740,7,3.05
619,571741,7,3.70
620,571743,7, 67041(T)
621,571744,7,3.08
622,571747,7,2.98
623,571748,7,2.54
624,571749,7,3.93
625,571756,7,3.55
626,571758,7,3.38
627,571760,7,3.64
628,571761,7, 66631(T)
629,571762,7, 66631(T)
630,571764,7, 66631(T)
631,571765,7,3.68
632,571766,7, 66631(T) 67054(T)
633,571768,7,3.89
634,571769,7, 66631(T) 67041(T)
635,571770,7,3.25
636,571771,7,3.53
637,571772,7,3.38
638,571773,7,3.71
639,571774,7,3.33
640,571776,7,2.93
641,571777,7,3.21
642,571778,7,3.68
643,571779,7,3.89
644,571780,7,2.51
645,571782,7,2.91
646,571783,7, 66441(T)
647,571784,7,3.05
648,571786,7, 66441(T)
649,571787,7, 66441(T)
650,571789,7,2.84
651,571790,7,2.78
652,571791,7, 66441(T)
653,571792,7,3.48
654,571793,7,2.39
655,571794,7,2.95
656,571795,7, 66441(T)
657,571797,7, 66441(T) 68851(T)
658,571798,7, 65851(T) 66456(T)
659,571799,7, 66445(T)
660,571801,7,3.25
661,571803,7,3.14
662,571805,7, 66441(T) 66445(T)
663,571807,7,3.11
664,571808,7, 65851(T) 66441(T)
665,571810,7, 66441(T)
666,571811,7, 66441(T)
667,571812,7, 66441(T)
668,571815,7,3.59
669,571816,7, 66456(T)
670,571817,7, 66441(T)
671,571821,7, 66441(T)
672,571825,7, 66441(T) 66456(T)
673,571826,7, 66441(T)
674,571829,7,3.10
675,571830,7,3.93
676,571832,7,3.74
677,571837,7, 65851(T) 66445(T)
678,571844,7,2.80
679,571846,7,3.44
680,571847,7,3.25
681,571849,7, 66441(T) 66456(T)
682,571852,7, 68852(T)
683,571853,7, 66441(T) 66445(T)
684,571854,7,3.74
685,571855,7,3.66
686,571858,7, 66456(T)
687,571859,7,3.59
688,571863,7, 66454(T)
689,571864,7, 66454(T) 66456(T)
690,571867,7, 66456(T)
691,571869,7,3.06
692,571871,7, 66445(T) 66456(T)
693,571872,7,2.88
694,571873,7, 66456(T) 68852(T)
695,571876,7, 66456(T)
696,571877,7,3.51
697,571879,7, 66456(T)
698,571881,7,3.44
699,571882,7,3.00
700,571883,7,2.98
701,571884,7,3.44
702,571885,7,3.25
703,571888,7,3.35
704,571889,7,3.20
705,571890,7,3.39
706,571891,7,3.18
707,571892,7, 65851(T) 69453(T)
708,571893,7,2.89
709,571894,7,3.16
710,571895,7,3.23
711,571896,7,3.00
712,571897,7,2.89
713,571898,7, 66841(T) 69054(T)
714,571899,7,3.20
715,571900,7,3.73
716,571901,7,3.15
717,571902,7,3.25
718,571903,7,2.88
719,571907,7,3.01
720,571910,7,3.70
721,571911,7,3.04
